content,score,time,type
"外形外观：时尚大气，超级赞！
加热速度：加热快，两个内胆，3300瓦
耗能情况：变频的，1级能效，
洗浴时间：2个大人，两个小孩洗浴不成问题！热水可以满足
其他特色：扁桶设计，对浴室空间小的。洗澡空间有大大的改善。两个内胆。14倍增容，活水！水质要求的人。超级赞👍👍",5,2024-12-04 12:28:44,good
美的udpro是一级能效，节能省电，而且美的udpro外观非常漂亮，外形设计非常节约空间，功能强大，上下双胆超薄，使用陶瓷内胆能够阻垢而且耐腐蚀，60L容量可以满足我的需求。,5,2024-12-16 17:48:18,good
"这款智能热水器真的很不错，科技感满满， 手机使用很便捷 ，还能远程控制。安装师傅非常耐心！业务能力很强！目前总体蛮不错的。
外形外观：好看耐看
耗能情况：一级能耗",5,2024-12-21 18:10:07,good
"外形外观：特地选的小尺寸，刚好合适。
加热速度：加热速度很快，其他模式也非常不错。
耗能情况：一级能耗完全OK。
洗浴时间：一家四口，完全够用。
其他特色：颜值高。",5,2024-12-24 16:05:33,good
外观设计很好，安装很赞，期待使用，家里用水多，这款特别适合家里人多用，主要是外形设计太好看了， 时尚潮流,5,2024-12-14 11:19:04,good
"外形外观：外形非常大气，淡紫色也非常喜欢
加热速度：加热非常快，加热几分钟就可以洗浴，不需要长时间等待，增容也非常可以
其他特色：还支持活水洗，保障了用水水质，也不用专门找人清洗",5,2024-12-15 15:33:20,good
发货很快，安装超快，用着很方便，变频省电，水电分离免更换镁棒免清洗很好。还能连上网络，客服姐姐服务很好哟。,5,2024-12-21 14:38:27,good
设置的50度 一直升高到75度  下胆不加热,1,2024-11-20 11:48:38,bad
安装时效差劲，无法安装退货重拍不补差价，客服专员无法解决问题,1,2024-12-13 15:25:04,bad
越看越窝火，接管三弯四弯。高度又不升。钻了好几个墙洞就这效果。火气大！！！,1,2024-08-03 21:19:00,bad
政府补贴没有用，买贵了，额额心情不好,1,2024-09-08 18:04:53,bad
体验感简直差到了极点，新机就出现问题，保质期内可以换新机      这可倒好，快递到了，旧机没拆。新机拉走了              旧机拆下来了，快递又不给送了   好不容易快递送货了，售后安装又来不了                至今快半个月了，还没换好新机     也不知道是商家的问题还是快递的问题还是安装的问题，总之觉得心力交瘁的,1,2024-12-24 09:56:26,bad
千万不要用京东的回收，自己处理就行了，典型的pz跟霸王条款,1,2024-10-06 19:30:59,bad
安装跟送货较好，但是客服服务较差，具有欺骗性，不建议购买,1,2024-12-16 10:41:53,bad
还没安装师傅就先说这个费用那个费用的，装个架子打孔另外收费我第一次见。,1,2024-10-06 17:35:33,bad
没有附带安装配件，所以配件还都要花钱买,1,2024-08-30 11:57:54,bad
服务太差了。东西有问题没想办法给我解决。,1,2023-12-19 12:51:56,bad
商品页面写的免费安装，到了之后就各种费用，什么必须安装支架，*块，水管两个*块，还有角阀*块，加起来*，我一个热水器才花多少钱,1,2025-01-01 10:31:58,bad
收费太贵，安装一下，辅材要*块钱。到底是卖辅材还是卖热水器的？咨询售后，美的和京东推来推去，互相推诿！,1,2025-01-01 10:14:40,bad
触屏很不灵敏，开关和温度触摸反应很快，其他按键不灵敏，客服说是按压屏幕，需要按压5秒钟才有反应，解释得很牵强，接受不了。🤦&amp;zwj;♀️🤦&amp;zwj;♀️🤦&amp;zwj;♀️🤦&amp;zwj;♀️,1,2024-12-31 21:44:28,bad
注意一下，如果有以旧换新的，一定要先叫拆旧机师傅上门，否则安装工先上门，拆旧机就要收费了，订单中旧机免拆运就是一句空话,1,2024-12-31 21:21:18,bad
性价比很低，出热水慢，挺费电的，没之前买的格力的省电，用了就不能退货了，以后再也不远美的,1,2024-12-31 18:47:11,bad
第一台漏水。,1,2024-12-30 21:42:34,bad
烧满75℃，正常放水13分钟就只有冷水了，#，10年前的老圆通也不至于这么差,1,2024-12-30 19:23:03,bad
此用户未填写评价内容,1,2024-12-29 11:58:11,bad
恨不得一个人洗澡都对付不了。洗到下半场冰凉的水。稀烂。,1,2024-12-28 20:00:36,bad
不得不说美的的热水器质量真是差，第一次到的外观就有磕碰，第二次更换的还是有磕碰只是比之前的磕碰点少了，美的工程师说我如果我没时间不想再换了，就走快补，售价的8%，我心想实在耗不起了。就联系客服，客服给我的回答就补50，多了没有。我差这50？必须差评。,1,2024-12-28 17:21:24,bad
"1.产品虚假宣传。产品页面中的尺寸和实际不符，实际产品高度远高于产品页面公示高度，导致我家预留的吊顶高度不够，无法按预计方式安装。和客服反映情况后，在线客服说是正常情况，之后也只有安装师傅联系，得知问题后，无正面反馈，至今没有其他人联系处理。由于系统未开出发票，无法投诉12315。
2.安装歪斜。今天再去细看，发现整个机器都装歪了，安装人员专业水平、服务态度和海尔差距巨大。",1,2024-12-28 14:22:21,bad
东西是坏的，把家里吊顶拆坏没人管，一个热水器装了一个礼拜，好评全是假的，全是现场不给好评就不走，谁买谁后悔,1,2024-12-23 21:36:34,bad
瑕疵厉害，显示板下方会有裂口容易进水蒸汽有安全隐患，也容易导致显示板损坏,1,2024-12-23 11:41:24,bad
花洒水太小，洗不了澡，,1,2024-12-21 16:35:03,bad
很丑 巨丑 官方介绍图显示明明就是白色 我没怎么看评论区就直接下单了 这也怪我没好好看看买家秀 结果安装完硕大一个 灰不灰蓝不蓝绿不绿的 颜色太丑了 商家你自己看看你放的官方图片 实物和图片差这么多 良心不会痛吗,1,2024-12-21 16:27:45,bad
此用户未填写评价内容,1,2024-12-21 11:06:22,bad
买的时候各种忽悠你安装用水区域3米内安装辅材全免，机器到了扫码后就显示减免*元，为了促销而促销呗！问客服还各种推脱让问地区专员，玩文字游戏还，人能决定你虚假宣传啊！人能决定你全免还是减免啊，这一个也就能看出以后售后服务了。我这安装费用*多加辅材，有全免辅材外的花洒一个和三角阀两个。安装师傅和人外包的没毛病，大家看各自情况吧！能接受虚假宣传的随便买，反之慎购，买了后还不知道什么闹心事呢！慎购、慎购、慎购,1,2024-12-19 11:17:51,bad
听劝别买，太坑了，热水器用久了要清洗，必须找厂家清洗，一次229。以前的老热水器只要打开排污口就可以排污。,1,2024-12-18 15:50:49,bad
产品被暴力运输有个凹坑联系换货，这个费劲，连催三次就是拖沓不给处理，从来没打过差评，这次是真忍不了一点了，美的售后就这样？卖完了不管？,1,2024-12-17 09:05:58,bad
没人预约，电话也不接，店铺客服让找京东客服，京东让找店铺，来回推，不解决问题，第一次差评给你们了，在那边房子足足等了一天,1,2024-12-14 21:18:41,bad
体验感特别不好，千万别买了第一次到货后插座的地方都是开的，换了一次货。这来了都是脏的，,1,2024-11-03 23:08:48,bad
售后服务差，超过三天才来安装,1,2024-06-14 18:41:38,bad
"不论是美的APP还是电热水器显示屏都不显示热水量，咨询客服来回说了很多，最后来一句那你可以等加热完成再洗。
这也不是低端机型吧，这么简单的设置都没有吗？
只有APP上显示热水是较多或者较少，那家里老人怎么办？",1,2024-10-20 00:05:47,bad
服务很少差不值得选择,1,2024-10-10 18:26:19,bad
美的售后至今不知所踪。。虽然热水器是我自己安上的，但从这个热水器到货后，美的从没有打过电话，咱也不知道售后是有多忙。都说美的售后差，见识了。,1,2024-11-05 23:23:54,bad
只能说是一次糟心的购物体验，双十一买的，先是表面一个大坑，换新根本不考虑用户感受，没有热水也不关心，费很大力气沟通，才给优先送货，既然能解决为什不先解决尼，然后跟同事的标价不一样，京东杀熟实锤了，客服根本就是推三阻四，告知没办法解决，说实话还是很失望。安装之后用凉水就是吱吱响，废了很多时间。总体就是又操心又花时间的购物之旅吧,1,2024-11-22 11:40:18,bad
什么都慢 送货慢   安装让我整整从那等了一下午    5点半才到,1,2024-10-12 13:07:25,bad
装机不到一个月，热水器不能加热了，避雷家人们！真的！几千块的热水器还不如之前不到一千的热水器质量好，离了大谱了！重点是售后真的很无能，只会说帮联系这个帮联系那个，你咋不帮我联系一下315让我维权呢？放心好了，你们的售后我全程记录，给你们发到抖音，小红书，微博去，还有黑猫！真是气死人！3000的热水器一月不到不能加热！离谱,1,2024-10-07 16:39:44,bad
使用一周后，感觉效果没有网上介绍好，说的功能？？？。这个价格不合适，而且美的客服售前售后态度太大反差，极其恶劣，真后悔一次购置两台，强烈建议大家可以看看别的。消费者买的就是一个服务态度，而不是买的气受。,1,2024-11-15 09:37:33,bad
快递小哥早早就把货给送过来了      可是厂家不来给安装    自己不联系   就不主动联系你安装    找客服问就说没我电话姓名地址     我踏马都服了    我下单这些信息你们看不见吗   是瞎的吗   客服还在哪里一直质问我   不联系他们安装    谁他妈懂你们美的是这么个奇葩的流程    买东西后让客户找你们来安装    难道客户都是水电工  张自己能安装吗    哪里来的这么多奇葩条款      垃圾东西  卖不起就别卖   什么玩意啊           物流配送小哥的服务5星满分       商家的客户及售后服务就是0分  要不是最低给一个星   真不想给你点这一个星,1,2024-03-24 20:13:03,bad
新机器就是这个样子,1,2024-12-05 21:32:41,bad
售后服务非常差，卖的时候喜皮笑脸，到你收到货后的服务另从天玩弄顾客，给他给玩了。,1,2024-12-05 18:00:44,bad
洗澡洗一半就没热水了，水温降的特别快，中途也不升温，每次根本洗不完，体验特别不好,1,2024-12-04 12:35:23,bad
我跟我妈妈买的热水器，我妈妈说美的的安装人员要一个验证码，我没有防备把验证码给了我妈妈，结果仔细看了验证码消息，写的是新设备登陆！！！过去一分钟我才修改了登陆密码！我不知道美的的安装人员要登陆我的京东账号干什么！我所有的银行卡都绑定在这个号上面！如果有任何损失我决不罢休！,1,2024-12-03 16:49:07,bad
新机器 你们看看这做工太次了，里面什么样都不知道呢，这做工谁敢用，不得爆炸了,1,2024-12-01 15:07:12,bad
售后差劲,1,2024-12-01 14:09:10,bad
差评，商品介绍里面明确是说的安装辅材全免，实际安装的时候安装师傅说只能免120，剩下的要付费。咨询客服，客服表示先给安装师傅付费，后面他们会把付费部分返回给我实际一直在拖，不解决，售前和售后完全是两回事很失望东西质量也一般般，买完就降价，现在*,1,2024-12-01 13:10:27,bad
不好,1,2024-11-30 09:01:14,bad
80L的，一个洗澡5分钟，水温就从70度变成了53度，后面用热水就得等，慢慢等,1,2024-11-28 20:49:56,bad
大面积漏水，机子质量问题，售后互相踢皮球，都不想承担责任，不想处理,1,2024-11-28 17:25:42,bad
勿踩雷，实物颜色与图片严重不符合，图片是金色，实物是土灰。客服对话都是搪塞消费者的复制粘贴话术，如同机器人。望改进 ^_^,1,2024-11-28 11:57:28,bad
刚买没几天就出现漏水情况，换货两次都出现外观破损，太让人失望了,1,2024-11-28 10:29:46,bad
热水器质量太差了，还没用就漏水，而且换货两次都有质量问题，真服了,1,2024-11-28 10:25:15,bad
严重差评！美的的热水器让我很失望，收到货后安装时打开一看热水器箱体上有破损、划痕！客服服务态度也很差劲！安装师傅很不专业，态度也一般，对此很不满意！再次严重差评！,1,2024-11-27 14:10:47,bad
水压正常，热水完全出不来。,1,2024-11-27 00:36:58,bad
安装成这样，专业？快递京东没派送，安装的打电话直接带来了，我都怀疑了是京东的货？安装师傅态度也不好，两个进屋就开始干活，然后试水把我厨房发水了，然后就让我把安装的辅材付款，这段时间我没付款打电话问别人会不会泡坏橱柜，安装态度极其不好冲我喊，气死我了，也没给我讲热水器怎么操作，自己琢磨？也没看安装的什么样，也没检查机器，找客服说安装的没有任何问题要不就申请服务单，师傅上门看有问题会退货，这就是美的，后面没派送的我会都退掉，一星都不想给,1,2024-11-25 14:02:10,bad
竟然看不了水量，这么基础的功能都没有，加热也特别慢，按键松垮。,1,2024-11-25 09:09:19,bad
说好的买热水器包安装是假话，,1,2024-11-24 03:39:32,bad
不好 费电 也不保温，页面介绍都是忽悠 夸张。实际使用效果完全不是描述的那样，颜色也不一样。,1,2024-11-23 19:14:57,bad
设置的50度 一直升高到75度  下胆不加热,1,2024-11-20 11:48:38,bad
热水器是不是正品不知道 存在怀疑的态度,1,2024-11-04 19:21:03,bad
从5月4日一直折腾到5月9日，前后一共6天，期间经历了退换货，多方联系客服，反复折腾，浪费了好多时间，总算把那个热水器搞定了。好久没买美的产品，这次没有选史密斯，没选海尔，抱着试一试的态度选择美的，没想到美的确实不行，品控实在是太差了！,1,2024-05-10 01:00:04,bad
安装费太贵了，300多再加点钱可以买个便宜的热水器了,1,2024-02-05 17:53:56,bad
80L的，一个洗澡5分钟，水温就从70度变成了53度，后面用热水就得等，慢慢等,1,2024-11-28 20:49:56,bad
这就是京东 骗人的大家不要买了 欺诈消费者,1,2024-08-28 10:29:17,bad
从前年等到现在都没有过来安装,1,2024-02-18 17:18:58,bad
刚买就降价，价格变来变去，体验很不好,1,2024-10-16 18:42:20,bad
发的旧货，果断差评。,1,2024-04-08 13:44:06,bad
使用一周后，感觉效果没有网上介绍好，说的功能？？？。这个价格不合适，而且美的客服售前售后态度太大反差，极其恶劣，真后悔一次购置两台，强烈建议大家可以看看别的。消费者买的就是一个服务态度，而不是买的气受。,1,2024-11-15 09:36:53,bad
安装服务不好，其它还可以,1,2024-06-18 13:58:42,bad
沟通过程服务太差,1,2024-11-14 11:43:57,bad
"产品和配送都很好 5星好评
但是安装师傅服务态度很差 很失望 望改进",1,2024-11-14 10:01:40,bad
买了之后地区安排服务女的接电话服务口气就很差，跟母老虎一样，过几天安装师傅服务特别差，,1,2024-11-14 09:46:28,bad
预约安装上门，师傅说要安美的的标准来安转（说的标准就是为了加钱安装）不安标准来就不帮忙装。要购买的自己衡量吧,1,2024-11-13 14:34:49,bad
每天泄压阀都流出2-3大杯水，厂家说这种现象正常，热水器也正常，自来水管网师傅也来测过自来水压正常。厂家说安装后不给退货，哪里还有说理的地方？热水器下面要是没有地漏，就只有用盆接水，没几天倒一次，太惨。,1,2024-11-12 18:10:28,bad
"美的越做越差劲，这次买的热水器一肚子火，存在一下问题：1、颜色跟页面宣传不一致，送过来的是灰色的机体。
2、安装师傅技术差劲，没责任心，暴力钻孔打碎瓷砖，线路接的乱七八糟，最差劲的是连减压阀都没装上。
当然，配送师傅是挺快挺有责任心，值得肯定，辛苦了。",1,2024-11-12 16:58:15,bad
烧水太慢  而且  温度显示跟水温不准   水一个人还没有洗完就没水了  质量太粗糙,1,2024-11-10 11:04:55,bad
全是套路.这就是我收到的商品，,1,2024-11-09 20:53:50,bad
