content,score,time,type
"收到货啦，外观非常满意，不占空间。
容量大，加热速度快！够一家人使用且温度还是很热。这点非常适合人多的家庭。
收到货的转天 小哥就来安装，服务也很好。
整体非常满意！好评！",5,2025-01-01 10:31:41,good
这款电热水器性能稳定，加热速度快，能够迅速提供充足的热水，满足日常生活的家庭所需。外观设计简约时尚，安装简便，不占空间。,5,2025-01-01 10:31:08,good
安装完成，满意👍,5,2025-01-01 10:30:20,good
安装满意,5,2025-01-01 10:28:01,good
安装服用非常好,5,2025-01-01 10:26:13,good
热水器挺好的，师傅已经给安装好了，现在注水试用，师傅全程陪同，服务态度很好，很热情，给师傅点赞,5,2025-01-01 10:25:54,good
这款热水器非常棒 外观设计美观，加热速度快 用了一段时间体验也非常省电 还能手机智能app调节功能 非常好！,5,2025-01-01 10:24:03,good
安装快服务好,5,2025-01-01 10:21:01,good
安装完成，非常满意,5,2025-01-01 10:16:43,good
安装满意,5,2025-01-01 10:12:51,good
以旧换新，服务好,5,2025-01-01 10:03:31,good
安装专业,5,2025-01-01 10:03:11,good
全方位服务都满意，特别是安装师傅,5,2025-01-01 10:03:01,good
安装好服务好,5,2025-01-01 10:02:45,good
回收师傅上门及时，好评,5,2025-01-01 10:00:51,good
回收好,5,2025-01-01 09:59:22,good
安装好服务好,5,2025-01-01 09:58:44,good
安装专业,5,2025-01-01 09:57:48,good
热水器质量挺好，联网使用方便。以旧换新上门速度快，服务态度很好,5,2025-01-01 09:57:08,good
安装满意,5,2025-01-01 09:54:15,good
设置的50度 一直升高到75度  下胆不加热,1,2024-11-20 11:48:38,bad
安装时效差劲，无法安装退货重拍不补差价，客服专员无法解决问题,1,2024-12-13 15:25:04,bad
越看越窝火，接管三弯四弯。高度又不升。钻了好几个墙洞就这效果。火气大！！！,1,2024-08-03 21:19:00,bad
政府补贴没有用，买贵了，额额心情不好,1,2024-09-08 18:04:53,bad
体验感简直差到了极点，新机就出现问题，保质期内可以换新机      这可倒好，快递到了，旧机没拆。新机拉走了              旧机拆下来了，快递又不给送了   好不容易快递送货了，售后安装又来不了                至今快半个月了，还没换好新机     也不知道是商家的问题还是快递的问题还是安装的问题，总之觉得心力交瘁的,1,2024-12-24 09:56:26,bad
千万不要用京东的回收，自己处理就行了，典型的pz跟霸王条款,1,2024-10-06 19:30:59,bad
安装跟送货较好，但是客服服务较差，具有欺骗性，不建议购买,1,2024-12-16 10:41:53,bad
还没安装师傅就先说这个费用那个费用的，装个架子打孔另外收费我第一次见。,1,2024-10-06 17:35:33,bad
没有附带安装配件，所以配件还都要花钱买,1,2024-08-30 11:57:54,bad
服务太差了。东西有问题没想办法给我解决。,1,2023-12-19 12:51:56,bad
商品页面写的免费安装，到了之后就各种费用，什么必须安装支架，*块，水管两个*块，还有角阀*块，加起来*，我一个热水器才花多少钱,1,2025-01-01 10:31:58,bad
收费太贵，安装一下，辅材要*块钱。到底是卖辅材还是卖热水器的？咨询售后，美的和京东推来推去，互相推诿！,1,2025-01-01 10:14:40,bad
触屏很不灵敏，开关和温度触摸反应很快，其他按键不灵敏，客服说是按压屏幕，需要按压5秒钟才有反应，解释得很牵强，接受不了。🤦&amp;zwj;♀️🤦&amp;zwj;♀️🤦&amp;zwj;♀️🤦&amp;zwj;♀️,1,2024-12-31 21:44:28,bad
注意一下，如果有以旧换新的，一定要先叫拆旧机师傅上门，否则安装工先上门，拆旧机就要收费了，订单中旧机免拆运就是一句空话,1,2024-12-31 21:21:18,bad
性价比很低，出热水慢，挺费电的，没之前买的格力的省电，用了就不能退货了，以后再也不远美的,1,2024-12-31 18:47:11,bad
第一台漏水。,1,2024-12-30 21:42:34,bad
烧满75℃，正常放水13分钟就只有冷水了，#，10年前的老圆通也不至于这么差,1,2024-12-30 19:23:03,bad
此用户未填写评价内容,1,2024-12-29 11:58:11,bad
恨不得一个人洗澡都对付不了。洗到下半场冰凉的水。稀烂。,1,2024-12-28 20:00:36,bad
不得不说美的的热水器质量真是差，第一次到的外观就有磕碰，第二次更换的还是有磕碰只是比之前的磕碰点少了，美的工程师说我如果我没时间不想再换了，就走快补，售价的8%，我心想实在耗不起了。就联系客服，客服给我的回答就补50，多了没有。我差这50？必须差评。,1,2024-12-28 17:21:24,bad
"1.产品虚假宣传。产品页面中的尺寸和实际不符，实际产品高度远高于产品页面公示高度，导致我家预留的吊顶高度不够，无法按预计方式安装。和客服反映情况后，在线客服说是正常情况，之后也只有安装师傅联系，得知问题后，无正面反馈，至今没有其他人联系处理。由于系统未开出发票，无法投诉12315。
2.安装歪斜。今天再去细看，发现整个机器都装歪了，安装人员专业水平、服务态度和海尔差距巨大。",1,2024-12-28 14:22:21,bad
东西是坏的，把家里吊顶拆坏没人管，一个热水器装了一个礼拜，好评全是假的，全是现场不给好评就不走，谁买谁后悔,1,2024-12-23 21:36:34,bad
瑕疵厉害，显示板下方会有裂口容易进水蒸汽有安全隐患，也容易导致显示板损坏,1,2024-12-23 11:41:24,bad
花洒水太小，洗不了澡，,1,2024-12-21 16:35:03,bad
很丑 巨丑 官方介绍图显示明明就是白色 我没怎么看评论区就直接下单了 这也怪我没好好看看买家秀 结果安装完硕大一个 灰不灰蓝不蓝绿不绿的 颜色太丑了 商家你自己看看你放的官方图片 实物和图片差这么多 良心不会痛吗,1,2024-12-21 16:27:45,bad
此用户未填写评价内容,1,2024-12-21 11:06:22,bad
买的时候各种忽悠你安装用水区域3米内安装辅材全免，机器到了扫码后就显示减免*元，为了促销而促销呗！问客服还各种推脱让问地区专员，玩文字游戏还，人能决定你虚假宣传啊！人能决定你全免还是减免啊，这一个也就能看出以后售后服务了。我这安装费用*多加辅材，有全免辅材外的花洒一个和三角阀两个。安装师傅和人外包的没毛病，大家看各自情况吧！能接受虚假宣传的随便买，反之慎购，买了后还不知道什么闹心事呢！慎购、慎购、慎购,1,2024-12-19 11:17:51,bad
听劝别买，太坑了，热水器用久了要清洗，必须找厂家清洗，一次229。以前的老热水器只要打开排污口就可以排污。,1,2024-12-18 15:50:49,bad
产品被暴力运输有个凹坑联系换货，这个费劲，连催三次就是拖沓不给处理，从来没打过差评，这次是真忍不了一点了，美的售后就这样？卖完了不管？,1,2024-12-17 09:05:58,bad
没人预约，电话也不接，店铺客服让找京东客服，京东让找店铺，来回推，不解决问题，第一次差评给你们了，在那边房子足足等了一天,1,2024-12-14 21:18:41,bad
